Date Temp Load IsWeekday
2017-07-09 78.98 2.18086 False
2017-07-15 75.02 1.90769 False
2016-06-08 80.06 2.19102 True
2016-06-09 82.04 2.33739 True
2016-06-10 80.06 2.17989 True
2017-07-16 77 1.70382 False
2017-07-22 84.02 2.01254 False
2016-06-13 82.94 2.28391 True
2017-07-23 84.02 2.34805 False
2016-06-14 82.94 2.43014 True
2016-06-15 84.02 2.46141 True
2016-06-16 82.94 2.38946 True
2017-07-29 73.94 1.63234 False
2017-07-30 75.02 1.58853 False
2016-06-17 71.06 1.71101 True
2017-08-05 75.92 1.87078 False
2017-08-06 80.96 2.01971 False
2017-08-12 77 1.96046 False
2016-06-20 80.06 2.14979 True
2017-08-13 77 1.9152 False
2017-08-19 77 1.85377 False
2016-06-21 78.98 2.07047 True
2016-06-22 84.02 2.39423 True
2016-06-23 84.02 2.40824 True
2016-06-24 87.08 2.53431 True
2016-06-27 84.02 2.42076 True
2017-08-20 82.04 2.12038 False
2016-06-28 82.04 2.09442 True
2016-06-29 84.92 2.43284 True
2016-06-30 84.02 2.44177 True
2017-08-26 75.92 1.90914 False
2017-08-27 73.94 1.80843 False
2013-06-01 71.96 1.69278 False
2016-07-01 73.94 1.59521 True
2013-06-02 78.08 1.71487 False
2013-06-08 75.02 1.83368 False
2013-06-09 75.02 1.84533 False
2013-06-15 77 1.9113 False
2016-07-04 75.92 1.91317 True
